,ssdp_mean,ssdp_std,socp_mean,socp_std,socp_eig_mean,socp_eig_std,ltr_mean,ltr_std,rtr_mean,rtr_std,optval_ssdp,optval_socp,optval_ltr,optval_rtr
600,-6.99985960303733,0.00017549268047266142,-6.422690638308875,0.0001885515674835135,-9.860619652304129,8.471652732546691e-06,-6.6913383004178755,7.901979245787118e-05,-3.4301890561733384,0.004438067866184013,1.0,1.0,597.6369885624387,597.6317665745504
650,-7.23709302670199,0.00018958314271210998,-6.6245180703172135,0.00016489592960320027,-10.057804912908182,3.4488403843976276e-06,-6.321564331003035,0.001375299134770628,-3.475465695710496,0.008671946254894179,1.0,1.0,647.4273074430414,647.4467061233706
700,-7.0208008043829055,0.0002718513838455431,-6.630191726523193,0.00022970630574712267,-10.023623353740092,6.049991735222597e-06,-6.669912295628222,9.39316607975305e-05,-3.361180296323487,0.009508708127717567,1.0,1.0,697.2358613680117,697.2299975665286
750,-6.744293793828738,0.00019295687497525933,-6.309721297626117,0.00011155792396654028,-9.864266839338718,4.626445720007799e-06,-6.5679884754107904,0.00011346643380486902,-3.505315705424953,0.008730382066042146,1.0,1.0,747.0238461313769,747.0395602346398
800,-7.210578062365894,0.00023037396141823015,-6.59189399626521,0.0001810229002094714,-10.033140760789856,3.0211918187031455e-06,-6.687303346827976,0.00015706635031141584,-3.352963704499836,0.005839830642874705,1.0,1.0,796.8175389042124,796.8191295940429
850,-6.969907316704079,9.101380334834274e-05,-6.478417406461441,6.421836497256098e-05,-9.922670371913622,7.085372254593813e-06,-6.567134516549319,0.00016830380744287652,-3.3940139411173282,0.003866495883996947,1.0,1.0,846.6350456267595,846.6218553980813
900,-6.85848903767903,5.774739821051665e-05,-6.303198903871986,0.0001839970010617914,-9.846729218739533,4.27452921292041e-06,-6.669644300545345,7.571453295018453e-05,-3.3640091433567996,0.005752352451871949,1.0,1.0,896.4367570855654,896.4228650070727
950,-6.922726794912051,7.146891911860318e-05,-6.434849614715397,0.00013851913405614076,-9.868313477531553,8.515098355498278e-06,-6.672983597188471,8.708048920277432e-05,-3.3592300460913185,0.0046296214234375225,1.0,1.0,946.217795579508,946.2804508347065
1000,-6.859612943657564,5.514388089362785e-05,-6.372361928471648,5.5824130983870126e-05,-9.892745455973055,5.123514420108916e-06,-6.542556764102807,9.895053309623127e-05,-3.3634352076980467,0.005875960312351948,1.0,1.0,996.0638202543371,996.0546412831172
1050,-6.9446993855717,0.00013178727594001093,-6.483762866261293,5.921414104794807e-05,-9.93621737716115,6.321621627893497e-06,-6.62628999075178,9.587098674747332e-05,-3.3100246968714866,0.006572475824259968,1.0,1.0,1045.8255743759685,1045.816505328752
1100,-6.985295287687164,9.683912897317089e-05,-6.520657828233082,0.00016334761706313203,-9.872958347517454,1.1684369901736737e-05,-6.653834250834642,8.630602586200204e-05,-3.400363710445462,0.006975376966062991,1.0,1.0,1095.6465752905235,1095.6217753905803
1150,-6.944170331684491,0.00013686516138185272,-6.442827007604285,7.868037874737823e-05,-9.791946177811207,1.0495141732184745e-05,-6.731317665345204,9.127401820985084e-05,-3.4571749742093205,0.007681576300443105,1.0,1.0,1145.440872305259,1145.45366967991
1200,-7.008946719544117,5.1653929181051615e-05,-6.412668869368009,0.00012032231879422753,-9.789623296367935,1.101553902302808e-05,-6.663985909873805,9.53836280510735e-05,-3.386094020713464,0.004830589518974249,1.0,1.0,1195.2471990637482,1195.24243839588
